Type,Series,Car,Axle,Position,Time,Mileage,tamian,zhijing
C70A,3,1,30699,1,0,0,NA,NA
C70A,3,1,30699,2,0,0,NA,NA
C70A,3,1,6245,3,0,0,NA,NA
C70A,3,1,6245,4,0,0,NA,NA
C70A,3,1,32989,5,0,0,NA,NA
C70A,3,1,32989,6,0,0,NA,NA
C70A,3,1,19835,7,0,0,NA,NA
C70A,3,1,19835,8,0,0,NA,NA
C70A,3,1,30699,1,137,58572,0.7,NA
C70A,3,1,30699,2,137,58572,0.5,NA
C70A,3,1,6245,3,137,58572,0.8,NA
C70A,3,1,6245,4,137,58572,0.7,NA
C70A,3,1,32989,5,137,58572,0.9,NA
C70A,3,1,32989,6,137,58572,0.5,NA
C70A,3,1,19835,7,137,58572,1,NA
C70A,3,1,19835,8,137,58572,0.8,NA
C70A,3,1,30699,1,193,85591,0.5,NA
C70A,3,1,30699,2,193,85591,0.7,NA
C70A,3,1,6245,3,193,85591,0.7,NA
C70A,3,1,6245,4,193,85591,0.3,NA
C70A,3,1,32989,5,193,85591,0.3,NA
C70A,3,1,32989,6,193,85591,0.4,NA
C70A,3,1,19835,7,193,85591,0.9,NA
C70A,3,1,19835,8,193,85591,0.5,NA
C70A,3,1,30699,1,239,106130,0.7,825.5
C70A,3,1,30699,2,239,106130,0.9,825.2
C70A,3,1,6245,3,239,106130,0.7,822.7
C70A,3,1,6245,4,239,106130,0.6,822.9
C70A,3,1,32989,5,239,106130,0.7,825.5
C70A,3,1,32989,6,239,106130,0.7,825.6
C70A,3,1,19835,7,239,106130,1.3,825.4
C70A,3,1,19835,8,239,106130,0.8,826.5
C70A,3,2,22339,1,0,0,NA,NA
C70A,3,2,22339,2,0,0,NA,NA
C70A,3,2,36884,3,0,0,NA,NA
C70A,3,2,36884,4,0,0,NA,NA
C70A,3,2,9659,5,0,0,NA,NA
C70A,3,2,9659,6,0,0,NA,NA
C70A,3,2,87180,7,0,0,NA,NA
C70A,3,2,87180,8,0,0,NA,NA
C70A,3,2,22339,1,137,58572,1,NA
C70A,3,2,22339,2,137,58572,0.9,NA
C70A,3,2,36884,3,137,58572,0.7,NA
C70A,3,2,36884,4,137,58572,1.1,NA
C70A,3,2,9659,5,137,58572,1.2,NA
C70A,3,2,9659,6,137,58572,0.8,NA
C70A,3,2,87180,7,137,58572,0.5,NA
C70A,3,2,87180,8,137,58572,1.1,NA
C70A,3,2,22339,1,193,85591,1.5,NA
C70A,3,2,22339,2,193,85591,0.8,NA
C70A,3,2,36884,3,193,85591,1,NA
C70A,3,2,36884,4,193,85591,1.8,NA
C70A,3,2,9659,5,193,85591,0.5,NA
C70A,3,2,9659,6,193,85591,1,NA
C70A,3,2,87180,7,193,85591,0.8,NA
C70A,3,2,87180,8,193,85591,0.6,NA
C70A,3,2,22339,1,239,106130,1.2,827
C70A,3,2,22339,2,239,106130,1,827.5
C70A,3,2,36884,3,239,106130,1.3,828.1
C70A,3,2,36884,4,239,106130,1.9,826.8
C70A,3,2,9659,5,239,106130,1.1,824.2
C70A,3,2,9659,6,239,106130,1.3,824.1
C70A,3,2,87180,7,239,106130,1.1,824.4
C70A,3,2,87180,8,239,106130,0.7,824.2
C70A,3,3,26168,1,0,0,NA,NA
C70A,3,3,26168,2,0,0,NA,NA
